bank_name,bank_code,sort_code
Pillar Microfinance Bank,90289,90289
Fct Microfinance Bank,90290,90290
Halacredit Microfinance Bank,90291,90291
Afekhafe Microfinance Bank,90292,90292
Brethren Microfinance Bank,90293,90293
Eagle Flight Microfinance Bank,90294,90294
Omiye Microfinance Bank,90295,90295
Polyuwanna Microfinance Bank,90296,90296
Alert Microfinance Bank,90297,90297
Federalpoly Nasarawamfb,90298,90298
Kontagora Microfinance Bank,90299,90299
Sunbeam Microfinance Bank,90302,90302
Purplemoney Microfinance Bank,90303,90303
Evangel Microfinance Bank,90304,90304
Sulsap Microfinance Bank,90305,90305
Aramoko Microfinance Bank,90307,90307
Brightway Microfinance Bank,90308,90308
Edfin Microfinance Bank,90310,90310
U And C Microfinance Bank,90315,90315
Bayero Microfinance Bank,90316,90316
PatrickGold Microfinance Bank,90317,90317
Federal University Dutse  Microfinance Bank,90318,90318
Bonghe Microfinance Bank,90319,90319
Kadpoly Microfinance Bank,90320,90320
Mayfair  Microfinance Bank,90321,90321
Rephidim Microfinance Bank,90322,90322
Mainland Microfinance Bank,90323,90323
Ikenne Microfinance Bank,90324,90324
Sparkle,90325,90325
Balogun Gambari Microfinance Bank,90326,90326
Trust Microfinance Bank,90327,90327
Eyowo MFB,90328,90328
Neptune Microfinance Bank,90329,90329
Fame Microfinance Bank,90330,90330
Unaab Microfinance Bank,90331,90331
Evergreen Microfinance Bank,90332,90332
Oche Microfinance Bank,90333,90333
Grant MF Bank,90335,90335
Bipc Microfinance Bank,90336,90336
Iyeru Okin Microfinance Bank Ltd,90337,90337
Uniuyo Microfinance Bank,90338,90338
Stockcorp  Microfinance Bank,90340,90340
Unilorin Microfinance Bank,90341,90341
Citizen Trust Microfinance Bank Ltd,90343,90343
Oau Microfinance Bank Ltd,90345,90345
Nasarawa Microfinance Bank,90349,90349
Illorin Microfinance Bank,90350,90350
Jessefield Microfinance Bank,90352,90352
Isuofia Microfinance Bank,90353,90353
Cashconnect   Microfinance Bank,90360,90360
Molusi Microfinance Bank,90362,90362
Headway Microfinance Bank,90363,90363
Nuture Microfinance Bank,90364,90364
Corestep Microfinance Bank,90365,90365
Firmus MFB,90366,90366
Seedvest Microfinance Bank,90369,90369
Ilasan Microfinance Bank,90370,90370
Agosasa Microfinance Bank,90371,90371
Legend Microfinance Bank,90372,90372
Tf Microfinance Bank,90373,90373
Coastline Microfinance Bank,90374,90374
Apple  Microfinance Bank,90376,90376
Isaleoyo Microfinance Bank,90377,90377
New Golden Pastures Microfinance Bank,90378,90378
Peniel Micorfinance Bank Ltd,90379,90379
Kredi Money Microfinance Bank,90380,90380
Manny Microfinance bank,90383,90383
Gti  Microfinance Bank,90385,90385
Interland Microfinance Bank,90386,90386
Ek-Reliable Microfinance Bank,90389,90389
Parkway Mf Bank,90390,90390
Davodani  Microfinance Bank,90391,90391
Mozfin Microfinance Bank,90392,90392
BRIDGEWAY MICROFINANCE BANK,90393,90393
Amac Microfinance Bank,90394,90394
Borgu Microfinance Bank,90395,90395
Oscotech Microfinance Bank,90396,90396
Chanelle Bank,90397,90397
Federal Polytechnic Nekede Microfinance Bank,90398,90398
Nwannegadi Microfinance Bank,90399,90399
Finca Microfinance Bank,90400,90400
Shepherd Trust Microfinance Bank,90401,90401
Peace Microfinance Bank,90402,90402
Uda Microfinance Bank,90403,90403
Olowolagba Microfinance Bank,90404,90404
Moniepoint Microfinance Bank,90405,90405
Business Support Microfinance Bank,90406,90406
Gmb Microfinance Bank,90408,90408
Fcmb Microfinance Bank,90409,90409
Maritime Microfinance Bank,90410,90410
Giginya Microfinance Bank,90411,90411
Preeminent Microfinance Bank,90412,90412
Benysta Microfinance Bank,90413,90413
Crutech  Microfinance Bank,90414,90414
Calabar Microfinance Bank,90415,90415
Chibueze Microfinance Bank,90416,90416
Imowo Microfinance Bank,90417,90417
Highland Microfinance Bank,90418,90418
Winview Bank,90419,90419
Letshego MFB,90420,90420
Izon Microfinance Bank,90421,90421
Landgold  Microfinance Bank,90422,90422
MAUTECH Microfinance Bank,90423,90423
Abucoop  Microfinance Bank,90424,90424
Banex Microfinance Bank,90425,90425
Tangerine Bank,90426,90426
Ebsu Microfinance Bank,90427,90427
Ishie  Microfinance Bank,90428,90428
Crossriver  Microfinance Bank,90429,90429
Ilora Microfinance Bank,90430,90430
Bluewhales  Microfinance Bank,90431,90431
Memphis Microfinance Bank,90432,90432
Rigo Microfinance Bank,90433,90433
Insight Microfinance Bank,90434,90434
Links Microfinance Bank,90435,90435
Spectrum Microfinance Bank,90436,90436
